22
(0,9),(1,10),(0,10),W
(0,8),(1,10),(0,9),W
(0,8),(2,10),(1,10),W
(0,8),(1,8),(1,9),W
(1,8),(2,8),(1,9),W
(1,9),(2,8),(2,10),W
(2,9),(2,10),(3,10),W
(2,9),(3,10),(5,10),W
(2,8),(2,9),(5,10),W
(0,5),(2,8),(0,8),W
(0,5),(2,5),(2,8),W
(2,5),(2,8),(3.5,6.5),W
(2,5),(5,5),(3.5,6.5),W
(2,8),(5,5),(7.5,7.5),W
(2,8),(7.5,7.5),(5,10),W
(5,10),(7.5,7.5),(7.5,10),W
(7.5,10),(7.5,7.5),(10,10),W
(0,0),(10,5),(10,10),W
(0,0),(2.5,2.5),(0,5),W
(0,5),(2.5,2.5),(5,5),W
(0,0),(10,5),(5,0),W
(5,0),(10,0),(10,5),W
